INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1958-004B,8,PAYLOAD,SPUTNIK 3,CIS,5/15/1958,TTMTR,4/6/1960,88.43,65.06,255,139,,,0,LARGE,1,1958,4,B,Y,SPUTNIK 3,1958-004B,8
1958-005A,9,PAYLOAD,EXPLORER 4,US,7/26/1958,AFETR,10/23/1959,92.81,50.25,585,239,,,0,,1,1958,5,A,Y,EXPLORER 4,1958-005A,9
1958-006A,10,PAYLOAD,SCORE,US,12/18/1958,AFETR,1/21/1959,98.21,32.29,1187,159,,,0,,1,1958,6,A,Y,SCORE,1958-006A,10
1958-007A,110,PAYLOAD,PIONEER 1,US,10/11/1958,AFETR,10/12/1958,,,,,NO INITIAL ELEMENTS,,0,,1,1958,7,A,Y,PIONEER 1,1958-007A,110
1958-008A,111,PAYLOAD,PIONEER 3,US,12/6/1958,AFETR,12/7/1958,,,,,NO INITIAL ELEMENTS,,0,,1,1958,8,A,Y,PIONEER 3,1958-008A,111
1959-001A,11,PAYLOAD,VANGUARD 2,US,2/17/1959,AFETR,,121.27,32.87,2923,553,,,0,MEDIUM,8592,1959,1,A,Y,VANGUARD 2,1959-001A,11
1959-001B,12,ROCKET BODY,VANGUARD R/B,US,2/17/1959,AFETR,,125.67,32.9,3312,553,,,0,MEDIUM,8592,1959,1,B,Y,VANGUARD R/B,1959-001B,12
1959-001C,5807,DEBRIS,VANGUARD DEB,US,2/17/1959,AFETR,11/22/1982,0,0,0,0,,5,0,SMALL,8419,1959,1,C,Y,VANGUARD DEB,1959-001C,5807
1959-001D,14934,DEBRIS,VANGUARD DEB,US,2/17/1959,AFETR,10/23/2007,89.81,32.78,273,257,,,0,SMALL,7337,1959,1,D,Y,VANGUARD DEB,1959-001D,14934
1959-002A,13,PAYLOAD,DISCOVERER 1,US,2/28/1959,AFWTR,3/3/1959,92.7,90,697,114,,5,0,,1,1959,2,A,Y,DISCOVERER 1,1959-002A,13
1959-003A,14,PAYLOAD,DISCOVERER 2,US,4/13/1959,AFWTR,4/26/1959,90.4,89.9,346,239,,5,0,,1,1959,3,A,Y,DISCOVERER 2,1959-003A,14
1959-004A,15,PAYLOAD,EXPLORER 6,US,8/7/1959,AFETR,6/30/1961,762.25,46.95,42276,251,,,0,,1,1959,4,A,Y,EXPLORER 6,1959-004A,15
1959-004B,17,ROCKET BODY,THOR ABLE R/B,US,8/7/1959,AFETR,6/30/1961,718.96,47.1,40215,198,,,0,SMALL,1,1959,4,B,Y,THOR ABLE R/B,1959-004B,17
1959-005A,18,PAYLOAD,DISCOVERER 5,US,8/13/1959,AFWTR,9/28/1959,89.1,79.99,323,137,,,0,,1,1959,5,A,Y,DISCOVERER 5,1959-005A,18
1959-005B,26,PAYLOAD,DISCOVERER 5 CAPSULE,US,8/13/1959,AFWTR,2/11/1961,88.73,78.94,280,143,,,0,,1,1959,5,B,Y,DISCOVERER 5 CAPSULE,1959-005B,26
1959-006A,19,PAYLOAD,DISCOVERER 6,US,8/19/1959,AFWTR,10/20/1959,90.92,84,469,171,,,0,,1,1959,6,A,Y,DISCOVERER 6,1959-006A,19
1959-007A,20,PAYLOAD,VANGUARD 3,US,9/18/1959,AFETR,,124.36,33.34,3242,508,,,0,MEDIUM,8582,1959,7,A,Y,VANGUARD 3,1959-007A,20
1959-007B,29005,DEBRIS,VANGUARD 3 DEB,US,9/18/1959,AFETR,2/4/2015,93.09,33.21,469,383,,,0,SMALL,7337,1959,7,B,Y,VANGUARD 3 DEB,1959-007B,29005
1959-007C,31405,DEBRIS,VANGUARD 3 DEB,US,9/18/1959,AFETR,4/3/2014,93.59,33.22,546,354,,,0,SMALL,7337,1959,7,C,Y,VANGUARD 3 DEB,1959-007C,31405
1959-008A,21,PAYLOAD,LUNA 3,CIS,10/4/1959,TTMTR,4/20/1960,21563.22,55,499998,500,,,0,,1,1959,8,A,Y,LUNA 3,1959-008A,21
1959-009A,22,PAYLOAD,EXPLORER 7,US,10/13/1959,AFETR,,95.81,50.28,642,473,,,0,MEDIUM,8587,1959,9,A,Y,EXPLORER 7,1959-009A,22
1959-009B,23,ROCKET BODY,JUNO II R/B,US,10/13/1959,AFETR,7/16/1989,89.24,50.27,249,225,,,0,MEDIUM,5942,1959,9,B,Y,JUNO II R/B,1959-009B,23
1959-010A,24,PAYLOAD,DISCOVERER 7,US,11/7/1959,AFWTR,11/26/1959,91.54,81.64,539,161,,,0,,1,1959,10,A,Y,DISCOVERER 7,1959-010A,24
1959-011A,25,PAYLOAD,DISCOVERER 8,US,11/20/1959,AFWTR,3/8/1960,88.03,80.65,239,115,,,0,,1,1959,11,A,Y,DISCOVERER 8,1959-011A,25
1959-012A,112,PAYLOAD,LUNA 1,CIS,1/2/1959,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,5799,1959,12,A,Y,LUNA 1,1959-012A,112
1959-013A,113,PAYLOAD,PIONEER 4,US,3/3/1959,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,5799,1959,13,A,Y,PIONEER 4,1959-013A,113
1959-014A,114,PAYLOAD,LUNA 2,CIS,9/12/1959,TTMTR,9/13/1959,,,,,LUNAR IMPACT,,0,,1,1959,14,A,Y,LUNA 2,1959-014A,114
1960-001A,27,PAYLOAD,PIONEER 5,US,3/11/1960,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,SMALL,5942,1960,1,A,Y,PIONEER 5,1960-001A,27
1960-002A,28,ROCKET BODY,THOR ABLE R/B,US,4/1/1960,AFETR,7/3/1991,87.8,48.34,168,163,,,0,LARGE,5942,1960,2,A,Y,THOR ABLE R/B,1960-002A,28
1960-002B,29,PAYLOAD,TIROS 1,US,4/1/1960,AFETR,,97.58,48.38,659,626,,,0,MEDIUM,8587,1960,2,B,Y,TIROS 1,1960-002B,29
1960-002C,101,DEBRIS,THOR ABLE DEB (YO),US,4/1/1960,AFETR,4/17/1983,88.03,48.47,177,177,,,0,MEDIUM,5942,1960,2,C,Y,THOR ABLE DEB (YO),1960-002C,101
1960-002D,115,DEBRIS,THOR ABLE DEB (YO),US,4/1/1960,AFETR,,96.81,48.17,629,583,,,0,SMALL,8587,1960,2,D,Y,THOR ABLE DEB (YO),1960-002D,115
1960-003A,30,ROCKET BODY,THOR ABLESTAR R/B,US,4/13/1960,AFETR,8/18/1961,88.38,51.25,194,194,,,0,,1,1960,3,A,Y,THOR ABLESTAR R/B,1960-003A,30
1960-003B,31,PAYLOAD,TRANSIT 1B,US,4/13/1960,AFETR,10/5/1967,88.7,51.2,220,201,,,0,,1,1960,3,B,Y,TRANSIT 1B,1960-003B,31
1960-003C,33,DEBRIS,THOR ABLESTAR DEB,US,4/13/1960,AFETR,7/17/1960,93.59,51.29,615,285,,,0,,1,1960,3,C,Y,THOR ABLESTAR DEB,1960-003C,33
1960-003D,99,DEBRIS,THOR ABLESTAR DEB,US,4/13/1960,AFETR,7/15/1979,88.98,51.26,227,221,,,0,SMALL,5942,1960,3,D,Y,THOR ABLESTAR DEB,1960-003D,99
1960-004A,32,PAYLOAD,DISCOVERER 11,US,4/15/1960,AFWTR,4/26/1960,89.7,80.1,377,142,,,0,,1,1960,4,A,Y,DISCOVERER 11,1960-004A,32
1960-005A,34,PAYLOAD,SPUTNIK 4,CIS,5/15/1960,TTMTR,9/5/1962,87.82,64.96,167,167,,,0,,1,1960,5,A,Y,SPUTNIK 4,1960-005A,34
1960-005B,35,ROCKET BODY,SL-3 R/B,CIS,5/15/1960,TTMTR,7/17/1960,88.48,64.89,199,199,,,0,,1,1960,5,B,Y,SL-3 R/B,1960-005B,35
1960-005C,36,PAYLOAD,SPUTNIK 4 CABIN,CIS,5/15/1960,TTMTR,10/15/1965,88.26,64.96,206,171,,,0,,1,1960,5,C,Y,SPUTNIK 4 CABIN,1960-005C,36
1960-005D,37,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,6/30/1961,92.92,64.89,552,282,,,0,,1,1960,5,D,Y,SPUTNIK 4 DEB,1960-005D,37
1960-005E,38,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,8/20/1960,90.63,64.89,328,282,,,0,,1,1960,5,E,Y,SPUTNIK 4 DEB,1960-005E,38
1960-005F,39,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,9/24/1960,90.99,64.89,364,283,,,0,,1,1960,5,F,Y,SPUTNIK 4 DEB,1960-005F,39
1960-005G,40,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,9/24/1960,92.13,64.89,475,282,,,0,,1,1960,5,G,Y,SPUTNIK 4 DEB,1960-005G,40
1960-005H,41,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,9/30/1960,90.74,64.89,339,283,,,0,,1,1960,5,H,Y,SPUTNIK 4 DEB,1960-005H,41
1960-005J,42,DEBRIS,SPUTNIK 4 DEB,CIS,5/15/1960,TTMTR,10/1/1960,91.25,64.89,420,251,,,0,,1,1960,5,J,Y,SPUTNIK 4 DEB,1960-005J,42
1960-006A,43,PAYLOAD,MIDAS 2,US,5/24/1960,AFETR,2/7/1974,87.82,33.05,168,165,,,0,,1,1960,6,A,Y,MIDAS 2,1960-006A,43
1960-006B,44,DEBRIS,MIDAS 2 DEB,US,5/24/1960,AFETR,12/5/1960,89.06,33,228,228,,,0,,1,1960,6,B,Y,MIDAS 2 DEB,1960-006B,44
1960-007A,45,PAYLOAD,TRANSIT 2A,US,6/22/1960,AFETR,,100.39,66.69,954,600,,,0,MEDIUM,8588,1960,7,A,Y,TRANSIT 2A,1960-007A,45
1960-007B,46,PAYLOAD,SOLRAD 1 (GREB),US,6/22/1960,AFETR,,99.24,66.69,873,571,,,0,MEDIUM,8582,1960,7,B,Y,SOLRAD 1 (GREB),1960-007B,46
1960-007C,47,ROCKET BODY,THOR ABLESTAR R/B,US,6/22/1960,AFETR,,99.78,66.67,903,593,,,0,LARGE,8587,1960,7,C,Y,THOR ABLESTAR R/B,1960-007C,47
1960-007D,840,DEBRIS,THOR ABLESTAR DEB,US,6/22/1960,AFETR,8/19/2003,88.59,66.6,210,199,,,0,SMALL,5942,1960,7,D,Y,THOR ABLESTAR DEB,1960-007D,840
1960-007E,841,DEBRIS,THOR ABLESTAR DEB,US,6/22/1960,AFETR,11/29/2002,88.23,66.62,195,179,,,0,SMALL,5942,1960,7,E,Y,THOR ABLESTAR DEB,1960-007E,841
1960-008A,48,PAYLOAD,DISCOVERER 13,US,8/10/1960,AFETR,11/14/1960,89.39,82.85,272,216,,,0,,1,1960,8,A,Y,DISCOVERER 13,1960-008A,48
1960-009A,49,PAYLOAD,ECHO 1,US,8/12/1960,AFETR,5/24/1968,92.7,47.19,419,394,,,0,,1,1960,9,A,Y,ECHO 1,1960-009A,49
1960-009B,50,ROCKET BODY,DELTA 1 R/B,US,8/12/1960,AFETR,,118.02,47.23,1682,1501,,,0,MEDIUM,8580,1960,9,B,Y,DELTA 1 R/B,1960-009B,50
1960-009C,51,DEBRIS,ECHO 1 DEB (METAL OBJ),US,8/12/1960,AFETR,,118.2,47.21,1685,1515,,,0,MEDIUM,8569,1960,9,C,Y,ECHO 1 DEB (METAL OBJ),1960-009C,51
1960-009D,52,DEBRIS,ECHO 1 DEB (MYLAR OBJ),US,8/12/1960,AFETR,,118.26,47.38,1711,1494,,3,0,,7541,1960,9,D,Y,ECHO 1 DEB (MYLAR OBJ),1960-009D,52
1960-009E,53,DEBRIS,ECHO 1 DEB (METAL OBJ),US,8/12/1960,AFETR,,118.29,47.28,1684,1524,,,0,MEDIUM,8571,1960,9,E,Y,ECHO 1 DEB (METAL OBJ),1960-009E,53
1960-010A,54,PAYLOAD,DISCOVERER 14,US,8/18/1960,AFWTR,9/16/1960,87.51,79.65,151,151,,,0,,1,1960,10,A,Y,DISCOVERER 14,1960-010A,54
1960-011A,55,PAYLOAD,SPUTNIK 5,CIS,8/19/1960,TTMTR,8/20/1960,90.67,64.9,307,307,,,0,,1,1960,11,A,Y,SPUTNIK 5,1960-011A,55
1960-011B,56,ROCKET BODY,SL-3 R/B,CIS,8/19/1960,TTMTR,9/23/1960,87.95,64.94,177,168,,,0,,1,1960,11,B,Y,SL-3 R/B,1960-011B,56
1960-012A,57,PAYLOAD,DISCOVERER 15,US,9/13/1960,AFWTR,10/18/1960,88.97,80.9,315,133,,,0,,1,1960,12,A,Y,DISCOVERER 15,1960-012A,57
1960-013A,58,PAYLOAD,COURIER 1B,US,10/4/1960,AFETR,,106.95,28.33,1209,963,,,0,LARGE,8581,1960,13,A,Y,COURIER 1B,1960-013A,58
1960-013B,59,ROCKET BODY,THOR ABLESTAR R/B,US,10/4/1960,AFETR,,106.43,28.25,1202,921,,,0,LARGE,8576,1960,13,B,Y,THOR ABLESTAR R/B,1960-013B,59
1960-014A,60,PAYLOAD,EXPLORER 8,US,11/3/1960,AFETR,3/28/2012,87.84,49.88,177,158,,,0,MEDIUM,6281,1960,14,A,Y,EXPLORER 8,1960-014A,60
1960-014B,62,ROCKET BODY,JUNO II R/B,US,11/3/1960,AFETR,10/27/1985,87.74,49.89,166,160,,,0,MEDIUM,5942,1960,14,B,Y,JUNO II R/B,1960-014B,62
1960-014C,69,DEBRIS,JUNO II DEB,US,11/3/1960,AFETR,2/16/1970,90.28,49.27,310,266,,,0,,1,1960,14,C,Y,JUNO II DEB,1960-014C,69
1960-014D,105,DEBRIS,JUNO II DEB,US,11/3/1960,AFETR,3/3/1972,90.68,50.42,349,266,,,0,,1,1960,14,D,Y,JUNO II DEB,1960-014D,105
1960-015A,61,PAYLOAD,DISCOVERER 17,US,11/12/1960,AFWTR,12/29/1960,88.41,81.86,226,166,,,0,,1,1960,15,A,Y,DISCOVERER 17,1960-015A,61
1960-016A,63,PAYLOAD,TIROS 2,US,11/23/1960,AFETR,5/18/2014,87.72,48.44,163,160,,,0,MEDIUM,8091,1960,16,A,Y,TIROS 2,1960-016A,63
1960-016B,64,ROCKET BODY,DELTA 1 R/B,US,11/23/1960,AFETR,9/24/1981,88.54,48.47,208,196,,,0,MEDIUM,5942,1960,16,B,Y,DELTA 1 R/B,1960-016B,64
1960-016C,74,DEBRIS,DELTA 1 DEB,US,11/23/1960,AFETR,5/10/1989,89.38,48.54,250,238,,,0,MEDIUM,5942,1960,16,C,Y,DELTA 1 DEB,1960-016C,74
1960-016D,75,DEBRIS,DELTA 1 DEB,US,11/23/1960,AFETR,1/25/1990,88.84,48.5,225,209,,,0,MEDIUM,5942,1960,16,D,Y,DELTA 1 DEB,1960-016D,75
1960-016E,5922,DEBRIS,TIROS 2 DEB *,US,11/23/1960,AFETR,,105.12,47.03,1030,970,,,0,SMALL,8562,1960,16,E,Y,TIROS 2 DEB *,1960-016E,5922
1960-017A,65,PAYLOAD,SPUTNIK 6,CIS,12/1/1960,TTMTR,12/2/1960,88.38,65,218,171,,,0,,1,1960,17,A,Y,SPUTNIK 6,1960-017A,65
1960-017B,66,ROCKET BODY,SL-3 R/B,CIS,12/1/1960,TTMTR,12/2/1960,87.28,65,140,140,,,0,,1,1960,17,B,Y,SL-3 R/B,1960-017B,66
1960-018A,67,PAYLOAD,DISCOVERER 18,US,12/7/1960,AFWTR,4/2/1961,89.08,81.48,279,179,,,0,,1,1960,18,A,Y,DISCOVERER 18,1960-018A,67
1960-019A,68,PAYLOAD,DISCOVERER 19,US,12/20/1960,AFWTR,1/23/1961,89.36,83.4,307,179,,,0,,1,1960,19,A,Y,DISCOVERER 19,1960-019A,68
1961-001A,70,PAYLOAD,SAMOS 2,US,1/31/1961,AFWTR,10/21/1973,88.09,97.22,185,175,,,0,,1,1961,1,A,Y,SAMOS 2,1961-001A,70
1961-001B,79,ROCKET BODY,ATLAS AGENA A R/B,US,1/31/1961,AFWTR,10/9/1970,87.27,97.35,161,118,,,0,,1,1961,1,B,Y,ATLAS AGENA A R/B,1961-001B,79
1961-002A,71,PAYLOAD,SPUTNIK 7,CIS,2/4/1961,TTMTR,2/26/1961,89.26,64.9,296,180,,,0,,1,1961,2,A,Y,SPUTNIK 7,1961-002A,71
1961-002B,72,ROCKET BODY,SL-6 R/B,CIS,2/4/1961,TTMTR,2/13/1961,88.87,64.9,228,209,,,0,,1,1961,2,B,Y,SL-6 R/B,1961-002B,72
1961-002C,73,DEBRIS,SL-6 DEB,CIS,2/4/1961,TTMTR,3/17/1961,88.21,64.89,227,145,,,0,,1,1961,2,C,Y,SL-6 DEB,1961-002C,73
1961-003A,80,PAYLOAD,VENERA 1,CIS,2/12/1961,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,SMALL,5942,1961,3,A,Y,VENERA 1,1961-003A,80
1961-003B,76,ROCKET BODY,SL-6 R/B,CIS,2/12/1961,TTMTR,2/18/1961,88.98,65.01,238,211,,,0,,1,1961,3,B,Y,SL-6 R/B,1961-003B,76
1961-003C,77,PAYLOAD,SPUTNIK 8,CIS,2/12/1961,TTMTR,2/25/1961,88.61,65.01,242,169,,,0,,1,1961,3,C,Y,SPUTNIK 8,1961-003C,77
1961-003D,78,DEBRIS,SL-6 DEB,CIS,2/12/1961,TTMTR,2/18/1961,89.53,65.01,305,198,,,0,,1,1961,3,D,Y,SL-6 DEB,1961-003D,78
1961-004A,81,PAYLOAD,EXPLORER 9,US,2/16/1961,WLPIS,4/9/1964,93.01,38.84,559,285,,,0,,1,1961,4,A,Y,EXPLORER 9,1961-004A,81
1961-004B,82,ROCKET BODY,SCOUT X-1 R/B,US,2/16/1961,WLPIS,,117.42,38.86,2490,640,,,0,MEDIUM,8582,1961,4,B,Y,SCOUT X-1 R/B,1961-004B,82
1961-004C,85,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,,99.48,38.75,943,524,,,0,SMALL,8591,1961,4,C,Y,SCOUT X-1 DEB,1961-004C,85
1961-004D,86,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,6/30/1961,,,,,NO INITIAL ELEMENTS,,0,,1,1961,4,D,Y,SCOUT X-1 DEB,1961-004D,86
1961-004E,3738,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,3/29/1982,117.5,38.8,2498,638,,5,0,SMALL,5942,1961,4,E,Y,SCOUT X-1 DEB,1961-004E,3738
1961-004F,3927,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,,101.15,38.94,1100,526,,,0,SMALL,8593,1961,4,F,Y,SCOUT X-1 DEB,1961-004F,3927
1961-004G,4026,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,,103.32,38.83,1278,553,,,0,SMALL,8592,1961,4,G,Y,SCOUT X-1 DEB,1961-004G,4026
1961-004H,5237,DEBRIS,SCOUT X-1 DEB,US,2/16/1961,WLPIS,7/20/1974,115.7,38.9,2388,585,,5,0,,1,1961,4,H,Y,SCOUT X-1 DEB,1961-004H,5237
1961-005A,83,PAYLOAD,DISCOVERER 20,US,2/17/1961,AFWTR,7/28/1962,88.58,80.83,204,204,,,0,,1,1961,5,A,Y,DISCOVERER 20,1961-005A,83
1961-005B,88,DEBRIS,DISCOVERER 20 DEB,US,2/17/1961,AFWTR,4/2/1961,90.14,80.91,281,281,,,0,,1,1961,5,B,Y,DISCOVERER 20 DEB,1961-005B,88
1961-005C,89,DEBRIS,DISCOVERER 20 DEB,US,2/17/1961,AFWTR,4/20/1961,92.8,80.91,539,284,,,0,,1,1961,5,C,Y,DISCOVERER 20 DEB,1961-005C,89
1961-005D,90,DEBRIS,DISCOVERER 20 DEB,US,2/17/1961,AFWTR,10/31/1961,91.01,80.71,327,321,,,0,,1,1961,5,D,Y,DISCOVERER 20 DEB,1961-005D,90
1961-006A,84,PAYLOAD,DISCOVERER 21,US,2/18/1961,AFWTR,4/20/1962,89.3,80.63,276,204,,,0,,1,1961,6,A,Y,DISCOVERER 21,1961-006A,84
1961-007A,87,PAYLOAD,TRANSIT 3B/LOFTI 1,US,2/22/1961,AFETR,3/30/1961,88.09,28.38,225,135,,,0,,1,1961,7,A,Y,TRANSIT 3B/LOFTI 1,1961-007A,87
1961-008A,91,PAYLOAD,SPUTNIK 9,CIS,3/9/1961,TTMTR,3/9/1961,87.83,64.93,213,121,,,0,,1,1961,8,A,Y,SPUTNIK 9,1961-008A,91
1961-008B,92,DEBRIS,SPUTNIK 9 DEB,CIS,3/9/1961,TTMTR,3/10/1961,88.19,64.93,200,170,,,0,,1,1961,8,B,Y,SPUTNIK 9 DEB,1961-008B,92
1961-008C,93,DEBRIS,SPUTNIK 9 DEB,CIS,3/9/1961,TTMTR,3/10/1961,87.94,64.93,173,173,,,0,,1,1961,8,C,Y,SPUTNIK 9 DEB,1961-008C,93
1961-008D,94,DEBRIS,SPUTNIK 9 DEB,CIS,3/9/1961,TTMTR,3/10/1961,,,,,NO INITIAL ELEMENTS,,0,,1,1961,8,D,Y,SPUTNIK 9 DEB,1961-008D,94
1961-009A,95,PAYLOAD,SPUTNIK 10,CIS,3/25/1961,TTMTR,3/25/1961,88,65,176,176,,,0,,1,1961,9,A,Y,SPUTNIK 10,1961-009A,95
1961-009B,96,ROCKET BODY,SL-3 R/B,CIS,3/25/1961,TTMTR,3/26/1961,87.82,65,198,135,,,0,,1,1961,9,B,Y,SL-3 R/B,1961-009B,96
1961-009C,97,DEBRIS,SL-3 DEB,CIS,3/25/1961,TTMTR,3/26/1961,88.53,65,237,167,,,0,,1,1961,9,C,Y,SL-3 DEB,1961-009C,97
1961-010A,98,PAYLOAD,EXPLORER 10,US,3/25/1961,AFETR,6/30/1961,3678,33.9,144999,99,,5,0,,8419,1961,10,A,Y,EXPLORER 10,1961-010A,98
1961-011A,100,PAYLOAD,DISCOVERER 23,US,4/8/1961,AFWTR,4/16/1962,89.47,82.23,268,228,,,0,,1,1961,11,A,Y,DISCOVERER 23,1961-011A,100
1961-011B,102,PAYLOAD,DISCOVERER 23 CAPSULE,US,4/8/1961,AFWTR,5/23/1962,88.27,81.88,189,189,,,0,,1,1961,11,B,Y,DISCOVERER 23 CAPSULE,1961-011B,102
1961-011C,106,DEBRIS,DISCOVERER 23 DEB,US,4/8/1961,AFWTR,9/10/1961,91.11,81.87,473,185,,,0,,1,1961,11,C,Y,DISCOVERER 23 DEB,1961-011C,106
1961-012A,103,PAYLOAD,VOSTOK 1,CIS,4/12/1961,TTMTR,4/12/1961,89.33,64.95,314,168,,,0,,1,1961,12,A,Y,VOSTOK 1,1961-012A,103
1961-012B,104,ROCKET BODY,SL-3 R/B,CIS,4/12/1961,TTMTR,4/16/1961,88.72,65.07,268,155,,,0,,1,1961,12,B,Y,SL-3 R/B,1961-012B,104
1961-013A,107,PAYLOAD,EXPLORER 11,US,4/27/1961,AFETR,,101.87,28.79,1229,466,,,0,MEDIUM,8583,1961,13,A,Y,EXPLORER 11,1961-013A,107
1961-013B,3739,DEBRIS,EXPLORER 11 DEB,US,4/27/1961,AFETR,3/3/1989,89.77,28.8,285,242,,,0,MEDIUM,5942,1961,13,B,Y,EXPLORER 11 DEB,1961-013B,3739
1961-014A,108,PAYLOAD,DISCOVERER 25,US,6/16/1961,AFWTR,7/12/1961,88.23,82.11,187,187,,,0,,1,1961,14,A,Y,DISCOVERER 25,1961-014A,108
1961-014B,109,DEBRIS,DISCOVERER 25 DEB,US,6/16/1961,AFWTR,6/19/1961,89.36,82.11,262,223,,,0,,1,1961,14,B,Y,DISCOVERER 25 DEB,1961-014B,109
1961-015A,116,PAYLOAD,TRANSIT 4A,US,6/29/1961,AFETR,,103.45,66.81,980,864,,,0,MEDIUM,8593,1961,15,A,Y,TRANSIT 4A,1961-015A,116
1961-015AA,140,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,9/30/1962,89.92,66.59,311,230,,,0,,1,1961,15,AA,Y,THOR ABLESTAR DEB,1961-015AA,140
1961-015AB,141,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.77,66.59,981,893,,,0,MEDIUM,8573,1961,15,AB,Y,THOR ABLESTAR DEB,1961-015AB,141
